date,positive_score,negative_score,neutral_score,compound_score,article_count
2026-02-09,0.0,0.186,0.814,-0.296,1
2026-02-10,0.1825,0.0,0.8175,0.22815000000000002,2
2026-02-11,0.2496666666666667,0.073,0.6773333333333333,0.4089666666666667,3
2026-02-12,0.1065,0.039,0.8545,0.2202,2
2026-02-13,0.077,0.049,0.874,0.13605,4
2026-02-14,0.1246,0.1206,0.7548,0.10342,5
2026-02-15,0.0,0.189,0.811,-0.4215,1
2026-02-16,0.157,0.088,0.755,0.2732,1
2026-02-17,0.0555,0.0,0.9445,0.09505,2
2026-02-19,0.128,0.296,0.576,-0.6369,1
2026-02-20,0.02425,0.10075,0.875,0.0,4
2026-02-21,0.144,0.0,0.856,0.3291,1
2026-02-23,0.413,0.225,0.362,0.3818,1
2026-02-24,0.0,0.0,1.0,0.0,1
2026-02-25,0.231,0.0,0.769,0.6597,1
2026-02-26,0.0,0.0,1.0,0.0,4
2026-02-27,0.0,0.0,1.0,0.0,1
2026-03-03,0.14733333333333334,0.0,0.8526666666666666,0.3326,3
2026-03-04,0.1205,0.141,0.738,-0.14055,2
2026-03-05,0.0,0.0,1.0,0.0,2
2026-03-06,0.0,0.0,1.0,0.0,2
2026-03-08,0.147,0.0,0.853,0.4215,1
2026-03-09,0.0,0.0,1.0,0.0,2
2026-03-10,0.107,0.0,0.8930000000000001,0.27253333333333335,3
2026-03-11,0.0,0.0,1.0,0.0,1
