date,positive_score,negative_score,neutral_score,compound_score,article_count
2026-01-12,0.0,0.0,1.0,0.0,1
2026-01-13,0.0,0.0,1.0,0.0,2
2026-01-14,0.0,0.0,1.0,0.0,1
2026-01-15,0.314,0.0,0.686,0.8271,1
2026-01-16,0.0,0.0,1.0,0.0,1
2026-01-18,0.0,0.0,1.0,0.0,1
2026-01-19,0.0,0.0782,0.9218,-0.15,5
2026-01-22,0.0,0.0,1.0,0.0,2
2026-01-26,0.0,0.116,0.884,-0.3612,1
2026-01-28,0.0,0.0,1.0,0.0,1
2026-01-30,0.1295,0.0945,0.776,0.10770000000000002,2
2026-02-02,0.072,0.121,0.8069999999999999,-0.04765,2
2026-02-03,0.0,0.186,0.814,-0.6249,1
2026-02-05,0.141,0.0,0.859,0.2023,1
2026-02-06,0.0,0.0,1.0,0.0,1
2026-02-08,0.127,0.0,0.873,0.1531,1
2026-02-11,0.139,0.0,0.861,0.1761,2
2026-02-12,0.0,0.257,0.743,-0.6369,1
2026-02-14,0.282,0.0,0.718,0.6705,1
2026-02-17,0.077,0.0,0.923,0.128,1
2026-02-20,0.0,0.033,0.967,-0.0086,3
2026-02-23,0.04666666666666667,0.0,0.9533333333333333,0.1589,3
2026-02-24,0.271,0.0,0.729,0.6911499999999999,2
2026-03-02,0.0,0.185,0.815,-0.3612,1
2026-03-03,0.247,0.0,0.753,0.5574,1
2026-03-04,0.06875,0.07225,0.859,-0.031825000000000006,4
2026-03-05,0.0,0.519,0.481,-0.8238,1
2026-03-06,0.0,0.0,1.0,0.0,1
2026-03-07,0.0,0.236,0.764,-0.4019,1
2026-03-08,0.0,0.0,1.0,0.0,1
2026-03-09,0.0,0.056,0.944,-0.1706,2
2026-03-10,0.121,0.0,0.879,0.4404,1
2026-03-11,0.0,0.0,1.0,0.0,1
