date,positive_score,negative_score,neutral_score,compound_score,article_count
2026-01-21,0.101,0.0,0.899,0.2023,1
2026-01-22,0.0,0.0,1.0,0.0,1
2026-01-27,0.0,0.123,0.877,-0.2732,1
2026-01-29,0.244,0.0,0.756,0.6369,1
2026-01-31,0.0,0.0,1.0,0.0,1
2026-02-02,0.0,0.197,0.803,-0.4019,1
2026-02-03,0.0,0.0,1.0,0.0,1
2026-02-06,0.0,0.0,1.0,0.0,1
2026-02-12,0.293,0.168,0.539,0.2732,1
2026-02-14,0.122,0.0,0.878,0.3612,1
2026-02-15,0.09799999999999999,0.06133333333333333,0.8406666666666666,0.10683333333333335,3
2026-02-16,0.0,0.028666666666666663,0.9713333333333334,-0.06698333333333333,6
2026-02-17,0.0805,0.0745,0.845,0.04400000000000001,2
2026-02-18,0.0,0.11,0.89,-0.2732,1
2026-02-19,0.0,0.139,0.861,-0.2732,1
2026-02-22,0.259,0.0,0.741,0.5994,1
2026-02-23,0.04666666666666667,0.035666666666666666,0.9176666666666667,0.045566666666666665,3
2026-02-25,0.09233333333333334,0.0,0.9076666666666666,0.27930000000000005,3
2026-03-04,0.0,0.222,0.778,-0.5199666666666667,3
2026-03-05,0.08,0.0,0.9199999999999999,0.1366,2
2026-03-07,0.086,0.0615,0.8525,0.08360000000000001,2
2026-03-10,0.259,0.0,0.741,0.4919,1
