Price,Open,High,Low,Close,Volume
Ticker,META,META,META,META,META
Date,,,,,
2020-01-02,205.31581827566228,208.3347237610063,204.83915217859575,208.32479858398438,12077100
2020-01-03,205.77259436694098,208.9404526618874,205.51438828470637,207.2224578857422,11188400
2020-01-06,205.2661176140365,211.30394242957985,205.08737354871448,211.1251983642578,17058900
2020-01-07,211.34372103468303,213.09150684087672,210.28113611948638,211.58204650878906,14912400
2020-01-08,211.52246449364458,214.73999476071972,211.13517044646403,213.72706604003906,13475000
2020-01-09,216.03093740438726,216.86512191418717,214.77968336909768,216.78567504882812,12642800
2020-01-10,217.67943940712337,218.35473022852156,215.91178821270205,216.54734802246094,12119400
2020-01-13,218.0766777515335,220.43023261072588,217.6893837221355,220.3706512451172,14463400
2020-01-14,220.07275014019038,220.8374130949012,217.1134258616862,217.54043579101562,13288900
2020-01-15,219.0796735588214,220.14224330523513,218.61293264173239,219.6159210205078,10036500
2020-01-16,221.02608200246482,221.0856633695372,218.86119636353655,220.23162841796875,10015300
2020-01-17,220.4897919973083,220.7479829401893,219.00019739381185,220.59902954101562,15905900
2020-01-21,220.6189068065152,220.82744157647545,217.59998643017602,219.90390014648438,14275800
2020-01-22,220.7678670861368,221.20481729786243,219.74501325093416,219.7847442626953,12212800
2020-01-23,219.21868788922464,219.95356006699245,217.74895868662998,218.2355499267578,11195000
2020-01-24,219.26833798403877,220.2415355901936,214.61086956802987,216.4281768798828,11905800
2020-01-27,211.6217599875433,214.56121837952216,211.02591604576713,213.3794708251953,13810700
2020-01-28,214.64065727268016,217.22262738717762,212.0388368063511,216.27920532226562,13413800
2020-01-29,219.90392675979615,222.64477585299142,216.93466221079436,221.68150329589844,33181300
2020-01-30,205.0973333453647,209.96333677110164,203.3296821317416,208.07652282714844,48775500
2020-01-31,206.98414497999343,207.24235109674964,199.66527441700927,200.50938415527344,31359900
2020-02-03,202.02876223518646,203.71696649755066,201.0952804840247,202.7735595703125,15495600
2020-02-04,205.18669615551534,209.1390982668606,203.77654834930945,208.3744354248047,19628900
2020-02-05,211.0358109395381,211.25428600997662,207.2621836929207,208.6524658203125,12538200
2020-02-06,209.0099907941408,209.72499743469822,207.88782464797202,209.38735961914062,10567500
2020-02-07,208.84116933586483,211.34369254725343,208.47372569124286,210.85708618164062,12242500
2020-02-10,210.05273582248736,212.31691874414776,209.19870085007565,211.58204650878906,11856400
2020-02-11,208.7319513685439,209.39730187804918,205.0774710016734,205.7527618408203,25030800
2020-02-12,206.40818657433556,209.7548046184871,205.9612960241213,209.29798889160156,13813700
2020-02-13,208.06661493243828,212.84324670717064,207.72896191355557,211.6614990234375,15396600
2020-02-14,212.5155155487479,213.43905701113206,211.17487422593211,212.6942596435547,10741700
2020-02-18,212.06865068574763,216.46791341520296,211.9196821130727,216.28916931152344,15609200
2020-02-19,216.47782426001228,216.80553689173098,214.6108608379566,215.98129272460938,12135100
2020-02-20,215.0180366270395,217.25242870566726,211.47279392220503,213.09149169921875,13109200
2020-02-21,211.999126960116,212.75386468738904,207.3813891572602,208.72201538085938,14092300
2020-02-24,200.40017742109237,202.23733543845628,196.79535278504676,199.32766723632812,23080100
2020-02-25,200.8470264942419,202.08835545897765,194.5907254813855,195.40504455566406,21433500
2020-02-26,195.8221213325324,199.8142393641403,194.13391703950523,195.83204650878906,16524500
2020-02-27,190.48937905519435,194.52121298477465,188.1854652937536,188.43373107910156,21682600
2020-02-28,181.43262639164234,191.40298845911272,180.55874116257365,191.13485717773438,32568900
2020-03-02,192.68403059492923,195.20641933512508,187.53997105000778,195.0773162841797,24949000
2020-03-03,194.85883776670886,195.87176634591756,182.69381509933396,184.60049438476562,27984100
2020-03-04,187.85776425300918,190.4993160091307,185.09704976149453,190.42979431152344,23062500
2020-03-05,185.4843302930154,187.6790064786015,182.61437845213564,183.885498046875,19333400
2020-03-06,177.0929374184928,182.50512806827697,175.0372896096009,179.8337860107422,24559600
2020-03-09,168.42351586713144,173.78605080213518,164.04410375021178,168.32420349121094,29949000
2020-03-10,173.45831710052457,177.0532004091745,168.32418306950075,176.9539031982422,24517800
2020-03-11,172.80293492443295,174.65997355157455,166.49699222371686,169.05909729003906,20373900
2020-03-12,158.43329037500783,165.44432903502332,153.26936495743283,153.39846801757812,43266300
2020-03-13,162.39562405222614,169.60525743664599,156.5067665435294,169.0988006591797,35028600
2020-03-16,151.26337195931941,158.0261289460297,142.10732937100707,144.99713134765625,39120400
2020-03-17,149.6943344283049,152.87213325995907,139.0288314730961,148.38348388671875,34255600
2020-03-18,138.78058955655547,147.15210550290516,136.14897799823436,145.94058227539062,37553100
2020-03-19,145.60288428853224,158.82054967486394,143.79551760640265,152.06773376464844,39862300
2020-03-20,154.93770518257426,158.16516017587122,146.97333507936904,148.6913299560547,32568400
2020-03-23,148.6218384828333,151.2534498367458,141.26323671563284,147.07266235351562,29830800
2020-03-24,154.13334793934374,160.19102444618358,151.51166166344214,159.86331176757812,30440400
2020-03-25,157.81759650246724,161.85937086098946,151.99824574432336,155.12640380859375,35184300
2020-03-26,157.15225163830672,162.86236504696558,155.93078814327822,162.20693969726562,26556800
2020-03-27,157.1025847157249,158.9794734322402,153.6765199351577,155.70236206054688,24879900
2020-03-30,158.07577166272898,165.59326635005255,156.96354587711465,164.79881286621094,22515200
2020-03-31,164.33207850408797,169.74426940008115,163.06095894090598,165.64292907714844,23676300
2020-04-01,160.498866115439,163.01131474567293,156.94369811683305,158.49288940429688,19507600
2020-04-02,157.99634240851967,160.23073434303583,154.83839392820795,157.0926513671875,20886300
2020-04-03,156.0598569333392,156.81459457188794,149.78370614837337,153.11045837402344,25983300
2020-04-06,159.03907586298791,165.0471116481266,157.4104527141532,164.40162658691406,28453600
2020-04-07,170.5983022670105,172.18720927873605,164.8583987953859,167.65884399414062,31411900
2020-04-08,170.06206478348858,173.78605160356497,166.57641857495588,173.071044921875,21664200
2020-04-09,174.67979777903207,175.8516201470857,170.37984777861084,173.9747314453125,23534300
2020-04-13,172.4652886839823,173.78606459324402,168.2745606569841,173.5775146484375,19355400
2020-04-14,177.73844553201988,179.97283770987997,175.39481579712452,176.93406677246094,21011800
2020-04-15,173.97471957427308,176.95390874859473,171.6211649754997,175.74237060546875,17423000
2020-04-16,176.71556312892426,176.8148754930837,171.31329782214016,175.02735900878906,23593200
2020-04-17,177.95691205507052,179.02942206702005,175.4345383411281,177.99664306640625,20974800
2020-04-20,176.17932637386727,179.24788768422115,175.54376660260039,177.00357055664062,16110700
2020-04-21,174.03430091743022,174.16340396391308,167.17223154982912,169.61517333984375,24850500
2020-04-22,177.21212998372891,183.49822203453158,176.90428280755842,181.01556396484375,33242000
2020-04-23,182.80306011709644,185.7524587823264,181.87950354016493,183.8457794189453,21426600
2020-04-24,181.95894750241217,189.08914843728576,179.57560212447592,188.7515106201172,28792000
2020-04-27,191.3235189589709,192.40595397949218,186.10993827049433,186.19931030273438,29197800
2020-04-28,187.35131858875093,187.88756608277328,181.29362663121276,181.64120483398438,21731000
2020-04-29,189.60551561532253,195.5440434000767,188.68197427779467,192.84291076660156,45954500
2020-04-30,205.48462382999278,208.2354129802487,200.17174510415327,203.2899627685547,46230100
2020-05-01,200.20153184952505,205.8421231201503,197.66921785286402,200.86688232421875,30415600
2020-05-04,198.8112387706745,204.48163600083174,197.38122541616488,203.8361358642578,19250700
2020-05-05,205.5839497659938,208.9206427542864,205.0675526545001,205.63360595703125,21071200
2020-05-06,206.6762866014675,210.13215708417445,205.2264229675792,207.02386474609375,21857000
2020-05-07,209.6952431703042,210.13219343240903,207.5899387395213,209.79454040527344,15152000
2020-05-08,210.76773082991775,211.73100330870798,209.38737364169384,210.87696838378906,12506000
2020-05-11,209.42707927255074,213.5085692726715,208.91068221102137,211.70118713378906,12911900
