stock,model,feature,importance,category
TSLA,Random Forest,Close,0.8973176885020416,Price
TSLA,Random Forest,Low,0.044954983057372486,Price
TSLA,Random Forest,High,0.03801257383216602,Price
TSLA,Random Forest,Open,0.003991033315462402,Price
TSLA,Random Forest,SMA_200,0.0018388687169959446,Technical
TSLA,Random Forest,MACD_Signal,0.0014655083115819403,Technical
TSLA,Random Forest,MACD,0.0013875895487499106,Technical
TSLA,Random Forest,BB_Width,0.001308170955785116,Technical
TSLA,Random Forest,Returns_5d,0.0013041796019644036,Technical
TSLA,Random Forest,Returns_1d,0.0012736914856992965,Technical
TSLA,Random Forest,Volume,0.0012345296415207008,Price
TSLA,Random Forest,Momentum_10,0.0010498932923034738,Technical
TSLA,Random Forest,BB_Lower,0.0009050293370282723,Technical
TSLA,Random Forest,RSI,0.0008767419117827904,Technical
TSLA,Random Forest,BB_Upper,0.0007250099263960081,Technical
TSLA,Random Forest,EMA_20,0.0006551857055162154,Technical
TSLA,Random Forest,SMA_50,0.0006389785945538312,Technical
TSLA,Random Forest,EMA_50,0.0005937650126712974,Technical
TSLA,Random Forest,SMA_20,0.0004665792504081485,Technical
TSLA,Random Forest,positive_score,0.0,Sentiment
TSLA,Random Forest,negative_score,0.0,Sentiment
TSLA,Random Forest,neutral_score,0.0,Sentiment
TSLA,Random Forest,article_count,0.0,Sentiment
TSLA,XGBoost,Close,0.8726112842559814,Price
TSLA,XGBoost,Low,0.06978985667228699,Price
TSLA,XGBoost,High,0.036959175020456314,Price
TSLA,XGBoost,Open,0.004925069864839315,Price
TSLA,XGBoost,BB_Upper,0.002045766217634082,Technical
TSLA,XGBoost,SMA_200,0.001990663120523095,Technical
TSLA,XGBoost,EMA_20,0.0013074579183012247,Technical
TSLA,XGBoost,EMA_50,0.001162747386842966,Technical
TSLA,XGBoost,MACD,0.0011404266115278006,Technical
TSLA,XGBoost,BB_Lower,0.001073707826435566,Technical
TSLA,XGBoost,BB_Width,0.0010643553687259555,Technical
TSLA,XGBoost,Returns_5d,0.0009714430198073387,Technical
TSLA,XGBoost,MACD_Signal,0.0008222023607231677,Technical
TSLA,XGBoost,Momentum_10,0.0008007214055396616,Technical
TSLA,XGBoost,RSI,0.0007979889051057398,Technical
TSLA,XGBoost,Returns_1d,0.0007537003257311881,Technical
TSLA,XGBoost,Volume,0.0006948186201043427,Price
TSLA,XGBoost,SMA_50,0.0006771275075152516,Technical
TSLA,XGBoost,SMA_20,0.0004115602932870388,Technical
TSLA,XGBoost,positive_score,0.0,Sentiment
TSLA,XGBoost,negative_score,0.0,Sentiment
TSLA,XGBoost,neutral_score,0.0,Sentiment
TSLA,XGBoost,article_count,0.0,Sentiment
NVDA,Random Forest,Low,0.13020552845695307,Price
NVDA,Random Forest,Close,0.12687082166039232,Price
NVDA,Random Forest,SMA_50,0.10389190549449605,Technical
NVDA,Random Forest,SMA_200,0.09511251823596227,Technical
NVDA,Random Forest,EMA_50,0.09003215797547494,Technical
NVDA,Random Forest,EMA_20,0.08985275006223384,Technical
NVDA,Random Forest,SMA_20,0.08628788601669278,Technical
NVDA,Random Forest,High,0.08100655190919318,Price
NVDA,Random Forest,BB_Upper,0.08080209865048466,Technical
NVDA,Random Forest,BB_Lower,0.06048582542984624,Technical
NVDA,Random Forest,Open,0.05456952588862467,Price
NVDA,Random Forest,BB_Width,0.00015810857283118362,Technical
NVDA,Random Forest,Returns_1d,0.00013236120898258037,Technical
NVDA,Random Forest,Volume,0.00012713410326923368,Price
NVDA,Random Forest,Returns_5d,0.00010558613071077189,Technical
NVDA,Random Forest,RSI,9.275234397533795e-05,Technical
NVDA,Random Forest,MACD_Signal,9.026392738902552e-05,Technical
NVDA,Random Forest,Momentum_10,8.877074412160241e-05,Technical
NVDA,Random Forest,MACD,8.745318836624386e-05,Technical
NVDA,Random Forest,positive_score,0.0,Sentiment
NVDA,Random Forest,negative_score,0.0,Sentiment
NVDA,Random Forest,neutral_score,0.0,Sentiment
NVDA,Random Forest,article_count,0.0,Sentiment
NVDA,XGBoost,SMA_20,0.6695594191551208,Technical
NVDA,XGBoost,Close,0.23903220891952515,Price
