feature,category,importance
Close,Price,0.475665341876521
Low,Price,0.20507546318265168
High,Price,0.1212739213551822
SMA_20,Technical,0.07619493955431512
Open,Price,0.029985960286697207
SMA_200,Technical,0.0236795552644684
BB_Upper,Technical,0.019613212336865346
EMA_20,Technical,0.014552901725189532
SMA_50,Technical,0.013967844820040856
EMA_50,Technical,0.010006065992452544
BB_Lower,Technical,0.0070619860106138545
MACD,Technical,0.00042615785066006065
BB_Width,Technical,0.00039206196860468845
Returns_1d,Technical,0.0003698198046070089
Returns_5d,Technical,0.0003672585750524775
Volume,Price,0.000364173657460037
MACD_Signal,Technical,0.0003608327110072591
Momentum_10,Technical,0.0003493742968291424
RSI,Technical,0.00029314319101975134
article_count,Sentiment,0.0
negative_score,Sentiment,0.0
neutral_score,Sentiment,0.0
positive_score,Sentiment,0.0
