model,rmse,mae,directional_accuracy,train_size,test_size,feature_set
TSLA - Linear Regression (Tech),12.559201919048167,9.785862813533905,48.698884758364315,1077,270,Tech-Only
TSLA - Random Forest (Tech),18.14839359585181,14.108222744032538,47.21189591078067,1077,270,Tech-Only
TSLA - XGBoost (Tech),25.020388180439394,20.446464482060186,51.6728624535316,1077,270,Tech-Only
TSLA - Linear Regression (Tech+Sent),12.55920191904816,9.785862813533898,48.698884758364315,1077,270,Tech+Sent
TSLA - Random Forest (Tech+Sent),17.919044243313262,13.975400548479639,46.468401486988846,1077,270,Tech+Sent
TSLA - XGBoost (Tech+Sent),25.020388180439394,20.446464482060186,51.6728624535316,1077,270,Tech+Sent
NVDA - Linear Regression (Tech),3.974385986935005,2.99881578845666,45.72490706319702,1077,270,Tech-Only
NVDA - Random Forest (Tech),36.73278432083236,29.955555011998694,44.98141263940521,1077,270,Tech-Only
NVDA - XGBoost (Tech),34.57920740409691,28.22761801260489,48.698884758364315,1077,270,Tech-Only
NVDA - Linear Regression (Tech+Sent),3.9743859869350042,2.9988157884566626,45.72490706319702,1077,270,Tech+Sent
NVDA - Random Forest (Tech+Sent),36.684903566029355,29.870533350392126,46.09665427509294,1077,270,Tech+Sent
NVDA - XGBoost (Tech+Sent),34.57920740409691,28.22761801260489,48.698884758364315,1077,270,Tech+Sent
META - Linear Regression (Tech),15.609574584861036,10.549740677345179,49.07063197026022,1077,270,Tech-Only
META - Random Forest (Tech),50.00376034488651,39.663745172447946,47.58364312267658,1077,270,Tech-Only
META - XGBoost (Tech),61.43254352870963,47.739112006293404,47.58364312267658,1077,270,Tech-Only
META - Linear Regression (Tech+Sent),15.60957458486103,10.54974067734517,49.07063197026022,1077,270,Tech+Sent
META - Random Forest (Tech+Sent),48.285911604686895,37.79201792534747,44.98141263940521,1077,270,Tech+Sent
META - XGBoost (Tech+Sent),61.43254352870963,47.739112006293404,47.58364312267658,1077,270,Tech+Sent
AAPL - Linear Regression (Tech),4.420799654301739,2.9237415168173597,53.159851301115246,1077,270,Tech-Only
AAPL - Random Forest (Tech),14.019659322625786,10.102697660507747,51.301115241635685,1077,270,Tech-Only
AAPL - XGBoost (Tech),16.967449488221074,12.053153313530817,54.646840148698885,1077,270,Tech-Only
AAPL - Linear Regression (Tech+Sent),4.420799654301743,2.923741516817361,53.159851301115246,1077,270,Tech+Sent
AAPL - Random Forest (Tech+Sent),14.209834738668706,10.25913480727136,49.44237918215613,1077,270,Tech+Sent
AAPL - XGBoost (Tech+Sent),16.967449488221074,12.053153313530817,54.646840148698885,1077,270,Tech+Sent
