stock,model,feature_set,test_days,train_size,test_size,rmse,mae,directional_accuracy,naive_rmse,naive_mae,beat_naive
TSLA,Linear Regression,Tech-Only,30,1317,30,9.416814362135288,7.650008893570204,44.827586206896555,9.692661526676115,7.785516146955817,True
TSLA,Linear Regression,Tech-Only,60,1287,60,10.14974052690218,8.291299800583856,49.152542372881356,10.20517072168627,8.258812855865997,True
TSLA,Linear Regression,Tech-Only,90,1257,90,11.273298445070074,9.200940370625833,49.43820224719101,11.304269621270516,9.012809839141504,True
TSLA,Linear Regression,Tech+Sent,30,1317,30,9.416814362135295,7.650008893570204,44.827586206896555,9.692661526676115,7.785516146955817,True
TSLA,Linear Regression,Tech+Sent,60,1287,60,10.149740526902189,8.291299800583873,49.152542372881356,10.20517072168627,8.258812855865997,True
TSLA,Linear Regression,Tech+Sent,90,1257,90,11.273298445070083,9.200940370625846,49.43820224719101,11.304269621270516,9.012809839141504,True
TSLA,Random Forest,Tech-Only,30,1317,30,12.072201822752975,9.852031347056503,44.827586206896555,9.692661526676115,7.785516146955817,False
TSLA,Random Forest,Tech-Only,60,1287,60,18.57717073886863,13.794171180955122,47.45762711864407,10.20517072168627,8.258812855865997,False
TSLA,Random Forest,Tech-Only,90,1257,90,19.860068926740848,15.016115679057394,53.93258426966292,11.304269621270516,9.012809839141504,False
TSLA,Random Forest,Tech+Sent,30,1317,30,11.80613466937002,9.688104695788184,51.724137931034484,9.692661526676115,7.785516146955817,False
TSLA,Random Forest,Tech+Sent,60,1287,60,18.111500704448773,13.351798366998192,40.67796610169492,10.20517072168627,8.258812855865997,False
TSLA,Random Forest,Tech+Sent,90,1257,90,19.709731476999092,14.949784915169475,56.17977528089888,11.304269621270516,9.012809839141504,False
TSLA,XGBoost,Tech-Only,30,1317,30,15.05165211486413,12.470217895507817,48.275862068965516,9.692661526676115,7.785516146955817,False
TSLA,XGBoost,Tech-Only,60,1287,60,22.077753724912675,16.42216237386068,59.32203389830508,10.20517072168627,8.258812855865997,False
TSLA,XGBoost,Tech-Only,90,1257,90,27.706664394294307,23.213317532009548,52.80898876404494,11.304269621270516,9.012809839141504,False
TSLA,XGBoost,Tech+Sent,30,1317,30,15.05165211486413,12.470217895507817,48.275862068965516,9.692661526676115,7.785516146955817,False
TSLA,XGBoost,Tech+Sent,60,1287,60,22.077753724912675,16.42216237386068,59.32203389830508,10.20517072168627,8.258812855865997,False
TSLA,XGBoost,Tech+Sent,90,1257,90,27.706664394294307,23.213317532009548,52.80898876404494,11.304269621270516,9.012809839141504,False
NVDA,Linear Regression,Tech-Only,30,1317,30,4.7777442979899085,3.6609311157992597,58.620689655172406,4.779300203652364,3.6599989266231083,True
NVDA,Linear Regression,Tech-Only,60,1287,60,3.964546667732431,2.984657230127764,47.45762711864407,3.9947628937857225,3.0230487888142177,True
NVDA,Linear Regression,Tech-Only,90,1257,90,4.388622889841359,3.42401897044394,43.82022471910113,4.327568407985696,3.4059882003269806,False
NVDA,Linear Regression,Tech+Sent,30,1317,30,4.777744297989904,3.6609311157992663,58.620689655172406,4.779300203652364,3.6599989266231083,True
NVDA,Linear Regression,Tech+Sent,60,1287,60,3.964546667732436,2.9846572301277594,47.45762711864407,3.9947628937857225,3.0230487888142177,True
NVDA,Linear Regression,Tech+Sent,90,1257,90,4.388622889841352,3.4240189704439357,43.82022471910113,4.327568407985696,3.4059882003269806,False
NVDA,Random Forest,Tech-Only,30,1317,30,5.0128443499658895,3.9887872631282884,58.620689655172406,4.779300203652364,3.6599989266231083,False
NVDA,Random Forest,Tech-Only,60,1287,60,4.457123831572349,3.3024735541534125,52.54237288135594,3.9947628937857225,3.0230487888142177,False
NVDA,Random Forest,Tech-Only,90,1257,90,6.648048476956964,4.662825225206607,44.9438202247191,4.327568407985696,3.4059882003269806,False
